language;text;level
"fr";"Elle aime lire des livres pendant son temps libre.";2
"fr";"Les phrases complexes incluent souvent des propositions subordonnées.";3
"fr";"Apprendre une nouvelle langue peut être difficile mais gratifiant.";3
"fr";"Les textes avancés utilisent un vocabulaire sophistiqué et des structures complexes.";4
"fr";"Comprendre des concepts abstraits nécessite une pensée critique.";4
"fr";"Les discussions philosophiques impliquent souvent des arguments nuancés.";5
"fr";"Les articles scientifiques exigent précision et clarté dans l'expression.";5
"fr";"Les enfants aiment jouer dans le parc.";1
"fr";"Les pommes et les bananes sont des collations saines.";1
"fr";"Le soleil se lève à l'est et se couche à l'ouest.";2
"fr";"Elle se prépare pour ses examens à venir.";2
"fr";"Écrire des essais aide à améliorer les compétences en pensée critique.";3
"fr";"De nombreux étudiants ont du mal à gérer leur temps.";3
"fr";"Les travaux de recherche nécessitent une étude approfondie.";4
"fr";"L'analyse des données est une compétence clé dans la recherche scientifique.";4
"fr";"La mécanique quantique explore le comportement des particules.";5
"fr";"L'intelligence artificielle transforme les industries.";5
"fr";"Les oiseaux construisent des nids pour protéger leurs œufs.";1
"fr";"Les arcs-en-ciel apparaissent après la pluie et le soleil.";1
"fr";"Les montagnes se forment par les mouvements des plaques tectoniques.";2
"fr";"Elle apprend à jouer du piano.";2
"fr";"Comprendre les règles de grammaire est essentiel pour écrire.";3
"fr";"Les discussions de groupe favorisent l'apprentissage collaboratif.";3
"fr";"Les algorithmes avancés résolvent des problèmes complexes.";4
"fr";"Les critiques constructives aident à affiner les travaux académiques.";4
"fr";"La philosophie examine la nature de l'existence.";5
"fr";"L'exploration spatiale élargit les connaissances humaines.";5
"fr";"Les grenouilles vivent dans les étangs et mangent des insectes.";1
"fr";"Les livres sont une excellente source de connaissances.";1
"fr";"Les plantes ont besoin de lumière du soleil et d'eau pour pousser.";2
"fr";"Elle aime peindre des paysages pendant son temps libre.";2
"fr";"Apprendre l'histoire nous aide à comprendre le présent.";3
"fr";"Les débats encouragent le raisonnement logique et l'articulation.";3
"fr";"Les revues scientifiques publient des articles évalués par des pairs.";4
"fr";"L'analyse statistique est cruciale dans la recherche.";4
"fr";"L'ingénierie génétique soulève des questions éthiques.";5
"fr";"Le changement climatique affecte les écosystèmes dans le monde entier.";5
"fr";"Les poissons nagent dans l'eau et respirent par des branchies.";1
"fr";"Les étoiles scintillent dans le ciel nocturne.";1
"fr";"Les rivières coulent des montagnes vers les océans.";2
"fr";"Elle pratique le yoga pour rester en bonne santé.";2
"fr";"Comprendre la poésie nécessite des compétences d'interprétation.";3
"fr";"Les études de cas offrent des expériences d'apprentissage pratiques.";3
"fr";"Les mathématiques avancées sont utilisées en ingénierie.";4
"fr";"Les retours des pairs améliorent la qualité du travail.";4
"fr";"Les théories philosophiques façonnent la pensée moderne.";5
"fr";"Les télescopes spatiaux capturent des galaxies lointaines.";5
"de"; "Das ist ein einfacher Satz.";1
"de";"Die Katze schläft auf dem Sofa.";1
"de";"Der Hund bellt laut im Garten.";1
"de";"Die Sonne scheint heute hell.";1
"de";"Ich gehe gerne spazieren.";1
"de";"Das Auto ist rot und schnell.";1
"de";"Der Vogel singt ein Lied.";1
"de";"Die Kinder spielen im Sandkasten.";1
"de";"Das Wasser im See ist klar.";1
"de";"Die Blumen blühen im Frühling.";1
"de";"Der Mond leuchtet in der Nacht.";1
"de";"Die Uhr zeigt zehn Uhr an.";1
"de";"Das Buch liegt auf dem Tisch.";1
"de";"Der Apfel ist rot und saftig.";1
"de";"Die Wolken ziehen am Himmel vorbei.";1
"de";"Der Baum ist groß und alt.";1
"de";"Die Straße ist lang und gerade.";1
"de";"Das Haus hat ein rotes Dach.";1
"de";"Die Maus läuft schnell weg.";1
"de";"Der Fisch schwimmt im Teich.";1
"de";"Die Lampe leuchtet hell.";1
"de";"Der Stuhl ist aus Holz.";1
"de";"Die Tür ist offen.";1
"de";"Das Fenster ist geschlossen.";1
"de";"Der Schnee ist weiß und kalt.";1
"de";"Die Milch steht im Kühlschrank.";1
"de";"Der Ball rollt über den Boden.";1
"de";"Die Katze jagt die Maus.";1
"de";"Das Kind lacht laut.";1
"de";"Der Zug fährt pünktlich ab.";2
"de";"Die Brücke verbindet zwei Städte.";2
"de";"Der Fluss fließt durch das Tal.";2
"de";"Die Berge sind hoch und steil.";2
"de";"Der Wind weht stark.";2
"de";"Die Blätter fallen im Herbst.";2
"de";"Der Regen prasselt auf das Dach.";2
"de";"Die Straße ist nass und rutschig.";2
"de";"Der Vogel baut ein Nest.";2
"de";"Die Sonne geht im Westen unter.";2
"de";"Der Hund bringt den Ball zurück.";2
"de";"Die Kinder lernen in der Schule.";2
"de";"Das Flugzeug fliegt über die Wolken.";2
"de";"Der Lehrer erklärt die Aufgabe.";2
"de";"Die Schüler schreiben einen Test.";2
"de";"Das Fahrrad steht vor dem Haus.";2
"de";"Die Ampel zeigt grün.";2
"de";"Der Bus hält an der Haltestelle.";2
"de";"Die Zeitung liegt auf dem Tisch.";2
"de";"Das Brot ist frisch gebacken.";2
"de";"Die Suppe ist heiß.";2
"de";"Der Computer ist eingeschaltet.";3
"de";"Die E-Mail wurde verschickt.";3
"de";"Das Handy klingelt laut.";3
"de";"Die Datei wurde gespeichert.";3
"de";"Das Passwort ist sicher.";3
"de";"Die Präsentation war interessant.";3
"de";"Das Meeting beginnt um neun Uhr.";3
"de";"Die Aufgabe wurde erfolgreich gelöst.";3
"de";"Das Projekt ist abgeschlossen.";3
"de";"Die Daten wurden analysiert.";3
"de";"Die Ergebnisse sind vielversprechend.";3
"de";"Die Forschung liefert neue Erkenntnisse.";4
"de";"Die Theorie wurde bestätigt.";4
"de";"Das Experiment war erfolgreich.";4
"de";"Die Hypothese wurde widerlegt.";4
"de";"Die Studie wurde veröffentlicht.";4
"de";"Die Diskussion war produktiv.";4
"de";"Die Analyse war detailliert.";4
"de";"Die Methode wurde optimiert.";4
"de";"Die Ergebnisse wurden präsentiert.";4
"de";"Die Arbeit wurde begutachtet.";4
"de";"Die Philosophie untersucht die Wahrheit.";5
"de";"Die Wissenschaft sucht nach Antworten.";5
"de";"Die Ethik stellt schwierige Fragen.";5
"de";"Die Logik ist ein Teil der Philosophie.";5
"de";"Die Mathematik ist eine exakte Wissenschaft.";5
"de";"Die Astronomie erforscht das Universum.";5
"de";"Die Biologie untersucht das Leben.";5
"de";"Die Chemie analysiert Stoffe.";5
"de";"Die Physik erklärt Naturgesetze.";5
"de";"Die Geschichte lehrt uns die Vergangenheit.";5
"de";"Die Literatur spiegelt die Kultur wider.";5
"de";"Die Kunst inspiriert die Menschen.";5
"de";"Die Musik berührt die Seele.";5
"de";"Die Architektur prägt die Städte.";5
"de";"Die Technik verändert die Welt.";5
"de";"Die Medizin rettet Leben.";5
"de";"Die Psychologie versteht den Geist.";5
"de";"Die Soziologie untersucht die Gesellschaft.";5
"de";"Die Ökologie schützt die Natur.";5
"de";"Der Hund läuft schnell.";1
"de";"Ich esse einen Apfel.";1
"de";"Die Sonne scheint heute.";1
"de";"Mein Bruder spielt Fußball.";1
"de";"Wir gehen in den Park.";1
"de";"Gestern haben wir ein spannendes Buch gelesen.";2
"de";"Im Herbst fallen die Blätter von den Bäumen.";2
"de";"Meine Schwester möchte später Ärztin werden.";2
"de";"Wir lernen in Biologie etwas über Pflanzenzellen.";2
"de";"Im Sportunterricht haben wir ein neues Spiel ausprobiert.";2
"de";"Die Industrialisierung veränderte die Gesellschaft nachhaltig.";3
"de";"Physikalische Gesetze beschreiben fundamentale Naturerscheinungen.";3
"de";"Die Interpretation literarischer Werke erfordert kritisches Denken.";3
"de";"Mathematische Beweise basieren auf logischer Deduktion.";3
"de";"Die französische Revolution hatte weitreichende politische Konsequenzen.";3
"de";"Die molekulare Genetik untersucht die Struktur und Funktion von Genen auf DNA-Ebene.";4
"de";"Philosophische Argumentationen basieren auf präziser Begriffsanalyse und deduktiver Logik.";4
"de";"Die Theorie der speziellen Relativität revolutionierte unser Verständnis von Raum und Zeit.";4
"de";"In der Soziologie analysieren wir komplexe Wechselwirkungen zwischen Individuen und Institutionen.";4
"de";"Mittels hochauflösender Kryo-Elektronenmikroskopie können die atomaren Strukturen von Biomolekülen visualisiert werden.";5
"de";"Quantenfeldtheorien beschreiben die Wechselwirkungen subatomarer Teilchen durch virtuelle Austauschprozesse.";5
"de";"Emergente Phänomene in komplexen adaptiven Systemen erfordern eine interdisziplinäre Analyse dynamischer Selbstorganisationsprozesse.";5
"de";"Epigenetische Modifikationen regulieren die Genexpression unabhängig von der zugrunde liegenden DNA-Sequenz.";5
"de";"Anna malt ein Bild.";1
"de";"Ich trinke Wasser.";1
"de";"Der Vogel singt schön.";1
"de";"Wir fahren mit dem Bus.";1
"de";"Papa kocht das Abendessen.";1
"de";"Der Ball ist rot.";1
"de";"Mein Freund hat ein neues Spielzeug.";1
"de";"Die Katze schläft auf dem Sofa.";1
"de";"Ich spiele draußen mit meinen Freunden.";1
"de";"Sie liest ein Buch über Tiere.";1
"de";"Am Wochenende besuchen wir Oma.";1
"de";"Die Blume ist gelb.";1
"de";"Mein Lieblingsessen ist Pizza.";1
"de";"Im Garten wachsen viele Blumen.";1
"de";"Das Auto ist sehr schnell.";1
"de";"Wir machen ein Picknick im Park.";1
"de";"Der Apfelbaum trägt viele Früchte.";1
"de";"Mein kleiner Bruder lacht laut.";1
"de";"Der Schnee ist ganz weiß.";1
"de";"Die Lehrerin erklärt die Aufgabe.";1
"de";"Im Sommer gehen wir schwimmen.";1
"de";"Meine Schuhe sind neu.";1
"de";"Ich bastle eine Karte für Mama.";1
"de";"Der Frosch springt ins Wasser.";1
"de";"Wir sammeln Kastanien im Herbst.";1
"de";"Im Winter fahren wir Schlitten.";1
"de";"Der Regenbogen ist bunt.";1
"de";"Ich schreibe einen Brief.";1
"de";"Mein Hund liebt es, zu rennen.";1
"de";"Die Sonne geht unter.";1
"de";"Wir machen eine Schneeballschlacht.";1
"de";"Mein Opa erzählt Geschichten.";1
"de";"Im Frühling blühen die Blumen.";1
"de";"Ich pflanze eine Sonnenblume.";1
"de";"Das Baby lächelt mich an.";1
"de";"Wir feiern meinen Geburtstag.";1
"de";"Die Giraffe hat einen langen Hals.";1
"de";"Ich male ein Haus.";1
"de";"Meine Schwester singt ein Lied.";1
"de";"Die Bienen summen um die Blumen.";1
"de";"Am Abend sehen wir Sterne.";1
"de";"Wir essen Eis im Sommer.";1
"de";"Der Mond scheint hell.";1
"de";"Ich baue einen Turm aus Bauklötzen.";1
"de";"Das Kätzchen jagt einen Ball.";1
"de";"Mein Lieblingsfach ist Mathe.";1
"de";"Wir fahren ans Meer.";1
"de";"Ich lese eine spannende Geschichte.";1
"de";"Am Wochenende gehen wir wandern.";2
"de";"Wir lernen etwas über Planeten.";2
"de";"In Geschichte sprechen wir über das Mittelalter.";2
"de";"Ich möchte später Tierarzt werden.";2
"de";"Wir schreiben ein Gedicht im Deutschunterricht.";2
"de";"In Erdkunde lernen wir über verschiedene Kontinente.";2
"de";"Die Lehrer erklären uns den Wasserkreislauf.";2
"de";"Wir spielen Theater in der Schule.";2
"de";"In Physik bauen wir einen einfachen Stromkreis.";2
"de";"Im Kunstunterricht malen wir Porträts.";2
"de";"Ich interessiere mich für alte Kulturen.";2
"de";"In Chemie experimentieren wir mit Stoffen.";2
"de";"Wir analysieren Gedichte im Deutschunterricht.";2
"de";"Die Pflanzen benötigen Sonnenlicht zum Wachsen.";2
"de";"Die Erde dreht sich um die Sonne.";2
"de";"Ein Vulkan bricht aus, wenn Magma an die Oberfläche kommt.";2
"de";"Wir untersuchen das Leben im Wasser.";2
"de";"Im Musikunterricht lernen wir neue Instrumente kennen.";2
"de";"Wir organisieren eine Projektwoche.";2
"de";"In Sport üben wir Leichtathletik.";2
"de";"Das Mittelalter war geprägt von Rittern und Burgen.";2
"de";"Wir diskutieren über Umweltschutzmaßnahmen.";3
"de";"Die Renaissance führte zu einem kulturellen Aufschwung.";3
"de";"Goethes Faust behandelt den Pakt mit dem Teufel.";3
"de";"Im Chemieunterricht analysieren wir komplexe Reaktionen.";3
"de";"Die Gravitation beeinflusst alle Körper im Universum.";3
"de";"Wir interpretieren politische Karikaturen.";3
"de";"Literaturkritik erfordert differenzierte Analysen.";3
"de";"Die globale Erwärmung bedroht viele Ökosysteme.";3
"de";"Die Funktion des Immunsystems wird zunehmend erforscht.";3
"de";"Demografischer Wandel verändert die Bevölkerungsstruktur.";3
"de";"Religiöse Reformbewegungen prägten die Neuzeit.";3
"de";"Technologische Innovationen fördern wirtschaftlichen Fortschritt.";3
"de";"Wir diskutieren ethische Fragestellungen in der Medizin.";3
"de";"Die Photosynthese ist Grundlage allen pflanzlichen Lebens.";3
"de";"Quantenmechanik beschreibt Phänomene auf subatomarer Ebene.";3
"de";"Die wirtschaftliche Globalisierung hat viele Facetten.";3
"de";"Rhetorische Stilmittel verstärken die Wirkung eines Textes.";3
"de";"Die Aufklärung forderte Vernunft und Wissenschaftlichkeit.";3
"de";"Immunologische Prozesse sind hochkomplex und koordiniert.";3
"de";"Die Thermodynamik untersucht Energieumwandlungen.";3
"de";"Neuronale Netze sind Modelle biologischer Informationsverarbeitung.";4
"de";"Die Stringtheorie strebt eine Vereinheitlichung der Naturkräfte an.";4
"de";"In der Sprachwissenschaft erforschen wir Syntax und Semantik.";4
"de";"Ökonomische Modelle simulieren Marktprozesse unter idealisierten Bedingungen.";4
"de";"Die Chaostheorie analysiert dynamische, nicht-lineare Systeme.";4
"de";"Interdisziplinäre Ansätze fördern neue wissenschaftliche Erkenntnisse.";4
"de";"Computational Neuroscience verknüpft Biologie und Informatik.";4
"de";"Die Systembiologie untersucht komplexe biologische Netzwerke.";4
"de";"Empirische Sozialforschung erhebt quantitative und qualitative Daten.";4
"de";"Die Relativitätstheorie widerspricht der klassischen Mechanik bei hohen Geschwindigkeiten.";4
"de"; "Kognitive Psychologie erforscht Wahrnehmung, Denken und Erinnerung.";4
"de";"In der Anthropologie vergleichen wir kulturelle Entwicklungen weltweit.";4
"de";"Evolutionäre Prozesse basieren auf Mutation und Selektion.";4
"de";"Stochastische Prozesse modellieren Zufallsphänomene.";4
"de";"Astrophysikalische Theorien beschreiben kosmologische Strukturen.";4
"de";"Neuronale Plastizität ist Grundlage für Lernprozesse.";4
"de";"In der Molekularbiologie analysieren wir Genexpression und Proteinsynthese.";4
"de";"Die Epigenetik untersucht Vererbung über DNA hinaus.";5
"de";"Proteomik ermöglicht Einblicke in zelluläre Proteinzusammensetzung.";5
"de";"Die Klimamodellierung integriert physikalische und chemische Prozesse.";5
"de";"Topologische Quantenzustände revolutionieren Materialwissenschaften.";5
"de";"Komplexe adaptive Systeme zeigen emergentes Verhalten.";5
"de";"In der Kryo-EM werden Makromoleküle bei extrem niedrigen Temperaturen sichtbar gemacht.";5
"de";"Präzisionsmedizin nutzt genetische Profile zur Therapieoptimierung.";5
"de";"Photonik ermöglicht ultraschnelle Informationsverarbeitung.";5
"de";"Adaptive Algorithmen verbessern künstliche Intelligenz.";5
"de";"Proteinfaltung wird durch energetische Landschaften beschrieben.";5
"de";"Die RNA-Interferenz steuert gezielt Genexpression.";5
"de";"Supraleitung bei Raumtemperatur wäre eine technologische Revolution.";5
"de";"In der Bioinformatik analysieren wir Sequenzdaten großer Genomprojekte.";5
"de";"Entropie ist ein zentrales Konzept in der Thermodynamik und Informationstheorie.";5
"de";"Zelluläre Signalwege koordinieren komplexe biologische Reaktionen.";5
"de";"Antisense-Technologien ermöglichen gezielte Genregulation.";5
"de";"Maschinelles Lernen basiert auf statistischen Lernmodellen.";5
"de";"Optogenetik erlaubt neuronale Steuerung mit Licht.";5
"de";"Epistemologische Analysen untersuchen die Struktur wissenschaftlicher Theorien.";5
"de";"Die Erforschung dunkler Materie bleibt eine zentrale Herausforderung der Kosmologie.";5
"de";"Die Entwicklung nachhaltiger Energien ist entscheidend für den Klimaschutz.";5
"de";"Die Erforschung von Exoplaneten eröffnet neue Perspektiven für die Astrobiologie.";5
"de";"Die Entwicklung von Quantencomputern könnte die Informatik revolutionieren.";5
"de";"Die Analyse von Big Data erfordert neue Algorithmen und Technologien.";5
"de";"Die Erforschung von Nanomaterialien eröffnet neue Anwendungen in der Technik.";5
"de";"Die Entwicklung von Biokraftstoffen könnte fossile Brennstoffe ersetzen.";5
"de";"Die Erforschung von Stammzellen könnte neue Therapien ermöglichen.";5
